Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
llama4_maverick_512_512_1_dp.log,22.68,0.13,67.73,356.35,14.09
llama4_maverick_512_512_8_dp.log,23.88,1.00,514.48,406.50,14.78
llama4_maverick_512_512_64_dp.log,33.18,5.79,2963.07,337.51,20.94
llama4_maverick_512_512_256_dp.log,44.92,17.10,8753.44,826.60,27.62
llama4_maverick_4096_1024_1_dp.log,42.88,0.07,71.64,262.25,13.71
llama4_maverick_4096_1024_8_dp.log,46.91,0.51,523.89,387.24,14.90
llama4_maverick_4096_1024_64_dp.log,70.86,2.71,2774.69,1858.84,21.25
llama4_maverick_4096_1024_256_dp.log,113.98,6.74,6899.96,5584.34,31.64
llama4_maverick_32768_1024_1_dp.log,,,,,
llama4_maverick_32768_1024_8_dp.log,,,,,
llama4_maverick_32768_1024_32_dp.log,,,,,
server.log,,,,,
